DATE TIME,DAWT(C)
2024-05-28,9.03
2024-05-29,9.05
2024-05-30,9.05
2024-05-31,9.05
2024-06-01,9.06
2024-06-02,9.07
2024-06-03,9.06
2024-06-04,9.1
2024-06-05,9.07
2024-06-06,9.15
2024-06-07,9.12
2024-06-08,9.13
2024-06-09,9.09
2024-06-10,9.13
2024-06-11,9.11
2024-06-12,9.12
2024-06-13,9.13
2024-06-14,9.15
2024-06-15,9.17
2024-06-16,9.18
2024-06-17,9.24
2024-06-18,9.35
2024-06-19,9.33
2024-06-20,9.37
2024-06-21,9.32
2024-06-22,9.33
2024-06-23,9.33
2024-06-24,9.35
2024-06-25,9.37
2024-06-26,9.38
2024-06-27,9.39
2024-06-28,9.38
2024-06-29,9.42
2024-06-30,9.37
2024-07-01,9.33
2024-07-02,9.42
2024-07-03,9.36
2024-07-04,9.37
2024-07-05,9.47
2024-07-06,9.44
2024-07-07,9.43
2024-07-08,9.48
2024-07-09,9.53
2024-07-10,9.49
2024-07-11,9.5
2024-07-12,9.5
2024-07-13,9.51
2024-07-14,9.54
2024-07-15,9.52
2024-07-16,9.63
2024-07-17,9.6
2024-07-18,9.6
2024-07-19,9.62
2024-07-20,9.6
2024-07-21,9.6
2024-07-22,9.67
2024-07-23,9.67
2024-07-24,9.67
2024-07-25,9.7
2024-07-26,9.72
2024-07-27,9.77
2024-07-28,9.76
2024-07-29,9.74
2024-07-30,9.78
2024-07-31,9.85
2024-08-01,9.79
2024-08-02,9.82
2024-08-03,9.85
2024-08-04,9.9
2024-08-05,9.86
2024-08-06,9.89
2024-08-07,9.92
2024-08-08,9.94
2024-08-09,9.98
2024-08-10,10.02
2024-08-11,10.0
2024-08-12,10.01
2024-08-13,10.08
2024-08-14,10.1
2024-08-15,10.1
2024-08-16,10.27
2024-08-17,10.28
2024-08-18,10.2
2024-08-19,10.28
2024-08-20,10.24
2024-08-21,10.37
2024-08-22,10.37
2024-08-23,10.35
2024-08-24,10.4
2024-08-25,10.54
2024-08-26,10.5
2024-08-27,10.5
2024-08-28,10.6
2024-08-29,10.5
2024-08-30,10.69
2024-08-31,10.6
2024-09-01,10.73
2024-09-02,10.68
2024-09-03,10.82
2024-09-04,10.65
2024-09-05,10.83
2024-09-06,10.84
2024-09-07,10.83
2024-09-08,10.82
2024-09-09,10.97
2024-09-10,10.94
2024-09-11,11.06
2024-09-12,11.21
2024-09-13,11.18
2024-09-14,11.14
2024-09-15,11.25
2024-09-16,11.41
2024-09-17,11.19
2024-09-18,11.46
2024-09-19,11.36
2024-09-20,11.44
2024-09-21,11.45
2024-09-22,11.54
2024-09-23,11.52
2024-09-24,11.58
2024-09-25,11.71
2024-09-26,11.65
2024-09-27,11.68
2024-09-28,11.75
2024-09-29,11.72
2024-09-30,11.89
2024-10-01,11.85
2024-10-02,11.85
2024-10-03,12.0
2024-10-04,12.01
2024-10-05,12.0
2024-10-06,12.24
2024-10-07,12.13
2024-10-08,12.2
2024-10-09,12.24
2024-10-10,12.31
2024-10-11,12.26
2024-10-12,12.26
2024-10-13,12.41
2024-10-14,12.47
2024-10-15,12.54
2024-10-16,12.3
2024-10-17,12.62
2024-10-18,12.87
2024-10-19,13.37
2024-10-20,13.69
2024-10-21,13.75
2024-10-22,14.36
2024-10-23,14.34
2024-10-24,14.65
2024-10-25,14.64
2024-10-26,14.95
2024-10-27,14.96
2024-10-28,14.9
2024-10-29,15.5
2024-10-30,15.31
2024-10-31,15.4
2024-11-01,15.5
2024-11-02,15.45
2024-11-03,15.36
2024-11-04,15.24
2024-11-05,15.18
2024-11-06,15.11
2024-11-07,15.03
2024-11-08,14.9
2024-11-09,14.77
2024-11-10,14.63
2024-11-11,14.46
2024-11-12,14.26
2024-11-13,14.15
2024-11-14,14.03
2024-11-15,13.91
2024-11-16,13.77
2024-11-17,13.65
2024-11-18,13.55
2024-11-19,13.41
2024-11-20,13.3
2024-11-21,13.17
2024-11-22,13.08
2024-11-23,13.03
2024-11-24,12.97
2024-11-25,12.88
2024-11-26,12.84
2024-11-27,12.8
2024-11-28,12.71
2024-11-29,12.63
2024-11-30,12.5
2024-12-01,12.39
2024-12-02,12.27
2024-12-03,12.2
2024-12-04,12.17
2024-12-05,12.12
2024-12-06,12.11
2024-12-07,12.08
2024-12-08,12.05
2024-12-09,12.01
2024-12-10,11.95
2024-12-11,11.86
2024-12-12,11.78
2024-12-13,11.73
